,camera,k_adc,full_well_e,full_well_dn,read_noise_e,read_noise_dn,bias_e,bias_dn,dark_current_e,dark_current_dn,DR,lin_min,lin_max,linearity,snr_max,t_exp_min,t_exp_max,expected_response,response
0,OROS-OTS,7.979,32049.0,4095.0,7.07,0.8860759493670887,0.0,0.0,8.8,1.102895099636546,73.12790138633359,-0.41,0.32,0.044999999999999984,179.0223449740283,0.0,0.0,0.0,0.0
1,OROS,4.863494903079309,19535.04801965018,4095.0,7.07,1.4536871408097185,31.916,4.0,8.8,1.8093984213756045,68.82790138633358,-0.41,0.32,0.044999999999999984,139.76783614140336,0.0,0.0,0.0,0.0
2,OROCHI,4.8828125,20000.0,4095.0,10.0,2.048,0.0,0.0,2.6,0.5324800000000001,66.02059991327963,0.0,0.0,0.0,141.4213562373095,0.0,0.0,0.0,0.0
3,Camera 0: 850 nm,4.7633936806555965,18804.609876164566,3947.7337244937617,4.954565549993676,1.04013354388793,25.2611334598915,5.303179865749571,5.137139812331898,1.0784621546596296,71.5851749860657,-1.622205298021864,0.7921586915100507,0.41502330325590664,137.12990146632706,0.00873662481760121,0.01642888213294082,6106.064279,241744.11566121326
4,Camera 1: 475 nm,4.7829320741877055,18165.392753395467,3797.9616836771675,4.773417350431413,0.9980106922681087,24.41575865947992,5.1047680127521975,5.241874776831844,1.0959542589201587,71.60830769629767,-1.4729201348574181,0.9470353156780014,0.2629424095897084,134.7790516118713,0.005450006904324643,0.009900151592577412,34660.711142,387230.48928337416
5,Camera 2: 400 nm,4.670792926217238,17533.945029537466,3753.954693884874,4.544370200788524,0.9729333482717462,23.227269927271877,4.972875118675638,7.027695672699405,1.5046044180748912,71.72811874659703,-0.7985078115747798,0.5014372910879219,0.14853526024342895,132.41580354903815,0.02578185794087998,0.04520576798947335,33909.12021,83708.96931816396
6,Camera 3: 550 nm,4.796922078106326,18840.28713909358,3927.5783163296933,4.814168622907649,1.003595335617403,24.968550684922565,5.2051190906105695,6.787248365083194,1.414917368797991,71.85132438975745,-3.031701639202204,2.1061622932272703,0.46276967298746685,137.25992546658904,0.0016375781513162087,0.003085244258350341,34660.683017,1279339.6122525888
7,Camera 4: 725 nm,4.8052699462160415,18987.729011663952,3951.4385714409304,4.8136098356527866,1.0017355714725897,24.79816473089584,5.160618447757218,6.055056229823653,1.2600865919284656,71.92004278129215,-3.6327256550766815,3.4394620366579325,0.09663180920937453,137.79596877871265,0.0009824727961285687,0.001865492721422103,19333.888021,2184084.1061093654
8,Camera 5: 950 nm,4.64665283883865,18153.302680560584,3906.7482142904582,3.6576865703019807,0.7871658798629243,20.59378469800308,4.431961115293937,6.719863623307134,1.4461729456394352,73.91498322434157,-1.0905901108558902,0.278604806022862,0.4059926524165141,134.73419269272586,0.04676365759734994,0.08489148308147898,3166.538335,46638.3944329189
9,Camera 6: 650 nm,4.778986680739629,18718.489860556165,3916.8323979633196,4.816106601699756,1.0077673204467652,24.997621905654622,5.230736885373746,6.032294277946293,1.2622538376718584,71.79149434622788,-1.3423670774736587,1.2287490448343987,0.05680901631962998,136.81553223430504,0.003381431421415556,0.006329528977593309,31148.687877,622920.0484730429
10,Camera 7: 550 nm,4.638215259618452,18112.52379024331,3905.063214278951,5.283756166390675,1.1391787294549427,23.209459269174587,5.003963371696518,6.00552627017808,1.294792486770462,70.70072402465415,-3.079978434268777,1.7350933663853991,0.672442533941689,134.58277672214714,0.001806049325311835,0.0032712111371063493,34660.683017,1196379.5559391335
