wavelength,reflectance
250,0.9474
251,0.9477
252,0.9486
253,0.9483
254,0.948
255,0.949
256,0.95
257,0.9488
258,0.9478
259,0.9498
260,0.9488
261,0.9491
262,0.9494
263,0.9513
264,0.9499
265,0.9502
266,0.9497
267,0.9502
268,0.9494
269,0.9496
270,0.9488
271,0.9475
272,0.9465
273,0.9472
274,0.9475
275,0.9473
276,0.9469
277,0.9477
278,0.9483
279,0.9473
280,0.9476
281,0.9477
282,0.9481
283,0.9499
284,0.9506
285,0.952
286,0.955
287,0.9567
288,0.9586
289,0.9599
290,0.9623
291,0.9641
292,0.9652
293,0.968
294,0.9684
295,0.9693
296,0.9705
297,0.9708
298,0.973
299,0.9739
300,0.9731
301,0.9731
302,0.9744
303,0.9748
304,0.976
305,0.9762
306,0.9761
307,0.977
308,0.9773
309,0.9764
310,0.9778
311,0.9777
312,0.9781
313,0.979
314,0.9794
315,0.98
316,0.9793
317,0.9785
318,0.9798
319,0.9809
320,0.9811
321,0.9817
322,0.9817
323,0.9823
324,0.9828
325,0.9823
326,0.9829
327,0.9841
328,0.9836
329,0.9824
330,0.9828
331,0.9829
332,0.9826
333,0.9827
334,0.9829
335,0.9832
336,0.9833
337,0.9843
338,0.9842
339,0.9836
340,0.9842
341,0.9841
342,0.9839
343,0.984
344,0.9843
345,0.985
346,0.9843
347,0.9847
348,0.9842
349,0.9845
350,0.9845
351,0.9848
352,0.9853
353,0.9851
354,0.9841
355,0.9844
356,0.9844
357,0.984
358,0.9836
359,0.984
360,0.9842
361,0.9843
362,0.9846
363,0.9843
364,0.9838
365,0.9851
366,0.9855
367,0.9856
368,0.9863
369,0.9866
370,0.986
371,0.9857
372,0.9864
373,0.9865
374,0.986
375,0.9863
376,0.9862
377,0.9862
378,0.9859
379,0.985
380,0.9849
381,0.9846
382,0.9841
383,0.984
384,0.9851
385,0.9863
386,0.9857
387,0.9852
388,0.985
389,0.9856
390,0.986
391,0.9859
392,0.9856
393,0.9853
394,0.9852
395,0.9861
396,0.9862
397,0.9866
398,0.9864
399,0.986
400,0.986
401,0.9861
402,0.986
403,0.9862
404,0.9863
405,0.9857
406,0.9859
407,0.986
408,0.9857
409,0.9858
410,0.9855
411,0.986
412,0.9862
413,0.9857
414,0.9861
415,0.9859
